predictor,outcome,n,pearson_r,pearson_p,spearman_rho,spearman_p,abs_pearson_r
rest_beta_power,task_gamma_power_diff,6,-0.8300252469442148,0.04088171930706338,-0.7714285714285715,0.07239650145772594,0.8300252469442148
rest_alpha_power,task_gamma_power_diff,6,-0.8209181440454145,0.04523386127891614,-0.942857142857143,0.004804664723032055,0.8209181440454145
rest_exponent,task_gamma_power_diff,6,0.775154313773369,0.07014977158928948,0.7714285714285715,0.07239650145772594,0.775154313773369
rest_theta_power,task_alpha_power_diff,6,0.7488066258740583,0.08672225307991219,0.5428571428571429,0.26570262390670546,0.7488066258740583
rest_offset,task_alpha_power_diff,6,0.6967261799640767,0.1240157085757563,0.7714285714285715,0.07239650145772594,0.6967261799640767
rest_alpha_relative_power,task_gamma_power_diff,6,-0.6286836314497548,0.18121598918918166,-0.8285714285714287,0.04156268221574335,0.6286836314497548
rest_theta_power,task_gamma_power_diff,6,-0.6251943461816887,0.18439270335675642,-0.5428571428571429,0.26570262390670546,0.6251943461816887
rest_exponent,task_beta_power_diff,6,0.5089466024327223,0.3024954615851163,0.6,0.208,0.5089466024327223
rest_alpha_power,task_alpha_power_diff,6,0.4699775479118051,0.34693773898825114,0.08571428571428573,0.8717434402332361,0.4699775479118051
rest_exponent,task_theta_power_diff,6,-0.4555218602884483,0.3639776401985074,-0.6,0.208,0.4555218602884483
rest_beta_power,task_beta_power_diff,6,-0.3801651374117132,0.45722407819216687,-0.4285714285714286,0.3965014577259473,0.3801651374117132
rest_alpha_relative_power,task_alpha_power_diff,6,0.3158349134466815,0.5420001634216179,0.3714285714285715,0.4684781341107872,0.3158349134466815
rest_offset,task_theta_power_diff,6,-0.29577929469698794,0.5692692416030085,-0.14285714285714288,0.7871720116618076,0.29577929469698794
rest_alpha_power,task_beta_power_diff,6,-0.25516567574742066,0.6255583439783904,-0.4285714285714286,0.3965014577259473,0.25516567574742066
rest_theta_power,task_beta_power_diff,6,-0.23496202329611987,0.6540427571689713,-0.3714285714285715,0.4684781341107872,0.23496202329611987
rest_beta_power,task_alpha_power_diff,6,0.22268037352228887,0.6715004153154579,-0.08571428571428573,0.8717434402332361,0.22268037352228887
rest_exponent,task_alpha_power_diff,6,0.19385397008057614,0.7128614991100062,0.48571428571428577,0.3287230320699708,0.19385397008057614
rest_beta_power,task_theta_power_diff,6,0.17397702368863033,0.7416674331586285,0.4285714285714286,0.3965014577259473,0.17397702368863033
rest_alpha_relative_power,task_theta_power_diff,6,-0.09426478175811616,0.8590216386749523,0.14285714285714288,0.7871720116618076,0.09426478175811616
rest_theta_power,task_theta_power_diff,6,-0.07340606467614916,0.8900886754525358,0.14285714285714288,0.7871720116618076,0.07340606467614916
rest_offset,task_gamma_power_diff,6,0.07091968291207768,0.8937988245009778,0.3714285714285715,0.4684781341107872,0.07091968291207768
rest_offset,task_beta_power_diff,6,0.03807022726262499,0.9429222474996031,-0.14285714285714288,0.7871720116618076,0.03807022726262499
rest_alpha_power,task_theta_power_diff,6,0.018855311187182616,0.9717203849653628,0.4285714285714286,0.3965014577259473,0.018855311187182616
rest_alpha_relative_power,task_beta_power_diff,6,0.011118169253780924,0.9833234332982786,-0.2,0.7040000000000001,0.011118169253780924
