target,predictor,ridge_coefficient,abs_coefficient
task_alpha_power_diff,rest_alpha_relative_power,1.7905102855372167e-10,1.7905102855372167e-10
task_alpha_power_diff,rest_exponent,1.735421882497321e-10,1.735421882497321e-10
task_alpha_power_diff,rest_offset,1.652372898593191e-10,1.652372898593191e-10
task_alpha_power_diff,rest_theta_power,1.2379150802592956e-10,1.2379150802592956e-10
task_alpha_power_diff,rest_alpha_power,7.177229892843802e-11,7.177229892843802e-11
task_alpha_power_diff,rest_beta_power,-1.541736358272318e-11,1.541736358272318e-11
task_beta_power_diff,rest_alpha_relative_power,2.355140981997258e-11,2.355140981997258e-11
task_beta_power_diff,rest_exponent,2.1499396012051563e-11,2.1499396012051563e-11
task_beta_power_diff,rest_beta_power,-7.260113364367225e-12,7.260113364367225e-12
task_beta_power_diff,rest_theta_power,-6.756387353255417e-12,6.756387353255417e-12
task_beta_power_diff,rest_alpha_power,-2.646730796705486e-12,2.646730796705486e-12
task_beta_power_diff,rest_offset,1.7687904265727474e-12,1.7687904265727474e-12
task_gamma_power_diff,rest_exponent,7.270201314995289e-12,7.270201314995289e-12
task_gamma_power_diff,rest_alpha_power,-5.4906835128734504e-12,5.4906835128734504e-12
task_gamma_power_diff,rest_theta_power,-5.228502223958149e-12,5.228502223958149e-12
task_gamma_power_diff,rest_beta_power,-4.449382348341084e-12,4.449382348341084e-12
task_gamma_power_diff,rest_alpha_relative_power,2.5264490242226076e-12,2.5264490242226076e-12
task_gamma_power_diff,rest_offset,1.1082481459509093e-12,1.1082481459509093e-12
